TradeName,counts,numberOfunits
Humatrope,6,247
Humira,4,166
Humorsol,5,335
Humulin N,2,87
Humulin R,2,105
Hyalgan,5,234
Hycamtin,4,357
Hycodan,5,403
Hydralazine,7,391
Hydrea,3,173
Hydrochlorothiazide and Triamterene,5,249
Hydrocodone and Ibuprofen,3,268
Hydrocodone Bitartrate and Acetaminophen,0,0
Hydrocodone Bitartrate and Acetaminophen Tablets,5,333
Hydrocortisone,4,261
Hydrocortisone and Acetic Acid,4,170
Hydrocortisone Butyrate,2,101
Hydrocortisone Sodium Succinate,5,381
Hydroflumethiazide,3,265
Hydromorphone Hydrochloride,3,237
Hydroquinone,3,288
Hydroxychloroquine,6,312
Hydroxyethyl Starch,4,233
Hydroxyurea,6,345
Hydroxyzine,5,347
Hydroxyzine Hydrochloride,4,388
Hylan G-F 20,3,217
Hylenex,3,58
Hyoscyamine,3,251
Hyoscyamine Sulfate,3,174
Hytrin,6,330
Hyzaar,4,290
Ibandronate Sodium,1,19
Ibritumomab Tiuxetan,6,392
Ibuprofen,1,75
Ibuprofen Lysine,3,201
Ibutilide Fumarate,2,48
Ic-Green,4,144
Icodextrin,6,344
Idamycin,2,70
Idamycin PFS,0,0
Idarubicin,5,259
Ifex,2,142
Ifosfamide,3,135
Ilaris,2,166
Iloperidone,6,334
Iloprost,3,176
Ilotycin,5,446
Imatinib Mesylate,6,214
Imiglucerase,7,459
Imipenem / cilastatin,2,125
Imipramine,3,286
Imipramine Pamoate,2,225
Imiquimod,8,321
Imitrex,2,50
Immune Globulin,1,28
Immune Globulin Intravenous,6,504
Imodium,3,249
Imovax,3,100
Implanon,6,402
Imuran,4,231
Inapsine,2,178
Increlex,5,335
Indapamide,2,93
Inderal,6,376
Inderal LA,4,321
Inderide,4,206
Indigo Carmine,4,294
Indigotindisulfonate,2,81
Indinavir Sulfate,1,113
Indocin,5,426
Indomethacin,3,147
Infanrix,4,330
Infasurf,7,321
Infed,1,106
Infergen,5,308
Infliximab,7,324
Influenza Virus Vaccine,4,234
Innohep,4,211
InnoPran XL,0,0
Inomax,4,158
Insoluble Prussian blue,2,89
Inspra,2,102
Insulin,6,291
Insulin Aspart,4,248
Insulin Detemir,5,404
Insulin Glulisine,3,85
Insulin Human,4,401
Insulin Lispro,2,153
Intal Nebulizer,3,240
Integrilin,6,253
Intelence,3,81
Interferon alfa-2a,2,130
Interferon alfa-2b,1,86
Interferon Alfacon-1,4,354
Interferon beta-1a,6,405
Interferon beta-1b,1,32
Interferon Gamma 1-b,2,169
Intralipid 10%,2,128
Intralipid 20%,0,0
Intron A,2,104
Intuniv,4,237
Invanz,6,421
Invega,6,307
Invega Sustenna,1,65
Inversine,2,133
Invirase,5,248
Iobenguane I 123,4,285
Ionamin,2,82
Ionsys,1,58
Ioxilan,0,0
Iplex,4,371
Ipol,5,285
Irbesartan,2,68
Irbesartan-Hydrochlorothiazide,4,293
Iressa,7,515
Irinotecan Hydrochloride,3,237
Iron Dextran,2,152
Isentress,2,128
Ismelin,3,164
Ismo,2,106
Isocarboxazid,4,200
Isoflurane,1,71
Isoniazid,2,156
Isoproterenol,2,106
Isoptin SR,3,194
Isopto Carpine,4,336
Isopto Hyoscine,2,201
Isordil,4,304
Isosorbide Dinitrate,6,199
Isosorbide Mononitrate,2,37
Isosulfan Blue,1,26
Isotretinoin,2,135
Isradipine,4,295
Istalol,4,242
Istodax,1,22
Isuprel,3,262
Ivermectin,2,132
Ixabepilone,0,0
Ixempra,2,70
Ixiaro,1,91
Jadelle,4,266
Jalyn,1,62
Jantoven,7,551
Janumet,3,173
Januvia,7,513
Japanese Encephalitis Vaccine,2,152
Je-Vax,8,523
Jevtana,1,88
K-LOR,3,185
K-Tab,1,104
Kadian,2,65
Kalbitor,2,148
Kaletra,5,417
Kanamycin,5,354
Kantrex,2,149
Kapidex,4,225
Kariva,2,86
Kayexalate,6,278
Keflex,6,323
Kemstro,2,127
Kenalog,2,124
Kepivance,5,192
Keppra,3,184
Keppra XR,5,424
Kerlone,6,415
Ketamine HCl,4,250
Ketamine Hydrochloride,2,83
Ketek,2,206
Ketoconazole,3,222
Ketoprofen,2,76
Ketorolac Tromethamine,7,408
Ketotifen Fumarate,4,319
Kineret,3,244
Kinevac,6,357
Kinlytic,6,396
Kionex,3,256
Klaron,2,193
Klonopin,5,210
Klor-Con,5,343
Kogenate FS,4,219
Kuvan,0,0
Kytril,3,155
Labetalol,3,212
Lac-Hydrin,2,84
lacosamide,3,173
Lacrisert,5,368
Lactated Ringer's Solution,2,111
Lactic Acid,6,374
Lactulose,3,145
Lamictal,3,201
Lamisil,3,175
Lamivudine,6,350
Lamivudine / Zidovudine,1,67
Lamotrigine,2,194
Lamprene,4,252
Lanoxin,5,347
Lansoprazole,3,215
Lantus,1,45
Lapatinib,2,81
Lariam,3,244
Laronidase,5,384
Lasix,8,529
Lastacaft,2,183
Latanoprost,3,147
Latisse,5,289
Leflunomide,1,74
Lenalidomide,2,113
Lepirudin,2,164
Lescol,3,196
Letairis,1,82
Letrozole,3,176
Leucovorin Calcium,3,229
Leukeran,2,75
Leukine,7,528
Leuprolide Acetate,6,463
Leustatin,3,95
Levalbuterol,2,114
Levaquin,2,101
Levbid,2,72
Levemir,4,96
Levetiracetam,3,180
Levitra,2,210
Levo-Dromoran,2,44
Levo-T,5,247
Levobetaxolol Hydrochloride,2,55
Levobunolol,4,343
Levocabastine,6,437
Levocarnitine,6,463
Levocetirizine Dihydrochloride,4,203
Levodopa,1,119
Levofloxacin,2,227
Levoleucovorin,5,231
Levomethadyl Acetate,3,212
Levonorgestrel,0,0
Levonorgestrel and Ethinyl Estradiol,4,272
Levonorgestrel Implants,4,245
Levonorgestrel-Ethinyl Estradiol,2,90
Levophed,2,95
Levora,7,561
Levorphanol,3,232
Levothroid,2,90
Levothyroxine Sodium,3,265
Levoxyl,7,482
Levsin,0,0
Levsin SL,5,242
Levulan Kerastick,3,293
Lexapro,6,392
Lexiscan,5,327
Lexiva,3,201
Lexxel,0,0
Lialda,3,227
Librax,2,134
Librium,2,126
Lidex,3,229
Lidocaine,2,19
Lidocaine and Prilocaine,8,587
Lidocaine and tetracaine,3,144
Lidoderm,5,268
Limbitrol,2,96
Lincocin,5,199
Lincomycin Hcl,1,61
Lindane,0,0
Linezolid,0,0
Lioresal Intrathecal,2,110
Liothyronine Sodium,4,255
Liotrix,4,227
Lipitor,1,110
Lipofen,2,161
Liposyn II,5,245
Liposyn III,4,285
Liraglutide,0,0
Lisdexamfetamine Dimesylate,6,291
Lisinopril,2,92
Lisinopril and Hydrochlorothiazide,5,266
Lithium Carbonate,2,163
Livalo,3,192
Livostin,3,236
Locoid,3,175
Locoid Lipocream,4,341
Lodine,2,144
Lodosyn,3,103
Lodoxamide Tromethamine,2,127
Loestrin 24 Fe,3,57
Lomefloxacin Hcl,2,151
Lomotil,3,145
Lomustine,1,42
Loperamide Hcl,2,157
Lopid,1,16
Lopinavir/Ritonavir,1,82
Lopressor,3,208
Lopressor HCT,1,24
Loprox Cream,1,41
Loprox Gel,2,173
Lorabid,0,0
Loracarbef,5,477
Loratadine,5,310
Lorazepam,4,272
Lortab,4,212
Losartan Potassium,5,368
Lotemax,1,118
Lotensin,3,136
Lotensin Hct,7,460
Loteprednol Etabonate,3,125
Lotrel,6,294
Lotrisone,2,144
Lotronex,3,215
Lovastatin,4,152
Lovaza,2,212
Lovenox,2,100
Low-Ogestrel,1,17
Loxapine,5,284
Loxapine Succinate,1,50
Loxitane,5,330
Lozol,6,269
Lubiprostone,2,118
Lucentis,1,113
Lufyllin,3,157
Lumigan,5,376
Lumizyme,4,166
Lunesta,5,301
Lupron,0,0
Lusedra,2,215
Luvox CR,3,137
Luxiq,8,569
Lybrel,1,87
Lymphazurin,1,96
Lyrica,5,454
Lysodren,2,159
Lysteda,0,0
M-M-R,2,54
Macrobid,3,189
Macrodantin,4,219
Macugen,5,301
Mafenide Acetate,5,104
Magnesium Sulfate,4,312
Magnevist,2,146
Malarone,5,253
Malathion,7,400
Mandol,1,107
Mangafodipir,1,105
Mannitol,8,478
Maraviroc,2,129
Marcaine,2,66
Marinol,3,92
Marplan,0,0
Matulane,0,0
Mavik,6,456
Maxair,6,429
Maxalt,7,425
Maxaquin,0,0
Maxipime,6,391
Maxitrol,4,192
Measles Vaccine,3,205
Mebaral,3,82
Mebendazole,4,224
Mecamylamine,4,311
Mecasermin,2,218
Mecasermin Rinfabate,2,208
Mechlorethamine HCl,3,137
Meclizine,4,227
Meclofenamate,2,135
Medrol,4,193
Medroxyprogesterone,3,246
Medroxyprogesterone Acetate,3,148
Medrysone,6,441
Mefenamic Acid,4,256
Mefloquine,4,266
Mefoxin,5,301
Megace,1,50
Megace ES,6,163
Megestrol Acetate,2,148
Mellaril,4,162
Meloxicam,7,594
Melphalan,6,176
Memantine HCL,3,207
Menactra,4,278
Menest,5,355
Meningococcal Vaccine,4,117
Menomune,3,219
Menopur,4,256
Menostar,6,225
Menotropins,3,179
Mentax,5,408
Mepenzolate Bromide,5,376
Meperidine,2,165
Mephobarbital,3,116
Mephyton,1,85
Mepivacaine,6,356
Meprobamate,2,192
Meprobamate / Aspirin,5,313
Mepron,5,268
Mequinol and Tretinoin,4,292
Mercaptopurine,6,446
Meridia,2,29
Meropenem,6,345
Merrem I.V.,2,165
Mesalamine,3,147
Mesna,2,214
Mesnex,4,210
Mestinon,2,48
Metadate CD,3,331
Metadate ER,3,201
Metaglip,1,117
Metaproterenol Sulfate,6,428
Metaraminol,4,173
Metastron,5,244
Metaxalone,3,87
Metformin Hcl,4,269
Methacholine Chloride,2,53
Methadone,5,402
Methadone Hydrochloride,4,230
Methadose Oral Concentrate,5,411
Methamphetamine Hydrochloride,2,69
Methazolamide,2,70
Methenamine Hippurate,5,209
Methergine,5,193
Methimazole,2,159
Methocarbamol,1,94
Methohexital Sodium,3,129
Methotrexate,0,0
Methoxsalen,0,0
Methsuximide,1,39
Methyclothiazide,2,139
Methyldopa,3,135
Methyldopate Hcl,4,367
Methylene Blue,3,220
Methylergonovine Maleate,3,137
Methylin,8,454
Methylnaltrexone Bromide,4,217
Methylphenidate Hcl,4,286
Methylprednisolone,0,0
Methylprednisolone Sodium Succinate,4,299
Methyltestosterone,4,169
Methysergide maleate,1,98
Metipranolol,3,127
Metoclopramide,2,112
Metolazone,2,78
Metopirone,5,423
Metoprolol Succinate,3,129
Metoprolol Tartrate,3,230
Metozolv ODT,5,297
MetroCream,4,202
Metrodin,3,293
Metrogel,1,75
MetroLotion,5,155
Metronidazole,4,265
Metvixia,3,249
Metyrapone,4,231
Metyrosine,4,275
Mevacor,3,122
Mexiletine HCl,8,644
Mexitil,7,456
Miacalcin,4,372
Micafungin Sodium,6,463
Micardis,3,167
Micardis HCT,1,87
Miconazole,5,299
Micro-K,5,285
Micronase,3,223
Micronized Glyburide,0,0
Microzide,4,118
Midamor,5,289
Midazolam,4,322
Midodrine Hydrochloride,3,219
Midrin,4,297
Mifeprex,3,295
Mifepristone,2,167
Miglitol,5,148
Miglustat,5,268
Migranal,5,300
Milnacipran HCl,6,426
Milrinone,3,259
Minipress,3,124
Minocin,3,182
Minocycline,2,54
Minocycline Hydrochloride,4,209
Minoxidil,3,160
Mintezol,3,181
Miochol-E,4,182
Miostat,1,36
Miradon,3,223
MiraLAX,3,164
Mirapex,5,388
Mirapex ER,7,368
Mircera,1,114
Mircette,3,257
Mirena,5,356
Mirtazapine,3,211
Misoprostol,8,594
Mithracin,3,168
Mitomycin,3,218
Mitotane,3,80
Mitoxantrone,4,315
Moban,4,287
Mobic,6,344
Modafinil,3,206
Moduretic,2,147
Moexipril,1,43
Moexipril HCl,3,100
Molindone Hydrochloride,4,191
Mometasone Furoate,3,252
Monistat,6,322
Monistat-Derm,6,160
Monoclate-P,4,288
Monodox,2,107
Mononine,3,247
Monopril,2,180
Montelukast Sodium,1,79
Monurol,9,442
Morphine Sulfate,6,416
Morrhuate Sodium,2,87
Motofen,5,388
Motrin,3,287
Moxatag,1,35
Moxifloxacin,4,347
Moxifloxacin HCL,5,268
Mozobil,5,237
MS Contin,6,308
Multaq,0,0
Multi Vitamin,6,384
Multihance,4,136
Mumps Vaccine,7,494
Mupirocin,2,104
Mustargen,1,78
Mutamycin,6,375
Myambutol,5,345
Mycamine,7,424
Mycelex,2,82
Mycobutin,5,310
Mycophenolate Mofetil,6,480
Mycophenolic Acid,5,304
Mycostatin,6,476
Myfortic,1,72
Mykrox,4,225
Myleran,2,104
Mylotarg,2,93
Myobloc,2,130
Myochrysine,4,317
Myozyme,2,232
Mysoline,5,182
Mytelase,4,303
Nabi-HB,3,220
Nabumetone,6,288
Nadolol,5,377
Nadolol and Bendroflumethiazide,3,221
Nafcillin Sodium,4,242
Naftifine,2,122
Naftifine Hcl,2,114
Naglazyme,4,342
Nalbuphine hydrochloride,3,291
Nalfon,3,77
Nalidixic Acid,5,152
Nalmefene Hydrochloride,3,209
Naloxone,0,0
Naltrexone,3,286
Namenda,5,394
Naprelan,2,155
Naproxen,2,197
Naproxen Sodium,1,19
Naratriptan,3,118
Narcan,3,202
Nardil,2,108
Naropin,4,197
Nasacort AQ,4,280
Nasalcrom,2,113
Nasalide,4,186
Nascobal,6,476
Nasonex,3,236
Natacyn,4,224
Natalizumab,2,60
Natamycin,2,213
Natazia,5,303
Nateglinide,7,379
Natrecor,2,135
Navane,3,86
Navelbine,3,225
Nebcin,0,0
Nebivolol Tablets,5,301
Nebupent,2,62
Necon,3,113
Nedocromil,2,53
Nedocromil Inhalation Aerosol,2,153
Nefazodone,4,279
NegGram,1,71
Nelarabine,3,211
Nelfinavir Mesylate,0,0
Nembutal,6,283
Neo-Synephrine,7,435
Neodecadron,2,162
Neomycin Sulfate,2,175
NeoProfen,4,298
Neoral,3,153
Neostigmine,4,236
Neostigmine Methylsulfate,5,185
Nephramine,3,215
Nesacaine,5,533
Nesiritide,2,39
Neulasta,3,109
Neumega,1,83
Neupogen,1,99
Neupro,5,301
Neurontin,5,335
Neutrexin,6,445
Nevanac,0,0
Nevirapine,3,117
Nexavar,0,0
Nexium,1,54
Niacin,3,184
Niacor,3,217
Niaspan,1,68
Nicardipine Hydrochloride,5,371
Nicotrol,2,101
Nicotrol NS,2,41
Nifedipine,2,51
Niferex-150,5,267
Nilandron,2,92
Nilotinib Capsules,2,137
Nilutamide,1,69
Nimbex,4,345
Nimodipine,2,169
Nimotop,3,127
Niravam,3,157
Nisoldipine,4,277
Nitazoxanide,4,243
Nitisinone,2,69
Nitric Oxide,2,121
Nitro-Dur,7,510
Nitrofurantoin,3,68
Nitroglycerin,4,169
Nitrolingual Pumpspray,4,227
NitroMist,6,320
Nitropress,4,375
Nitroprusside Sodium,1,41
Nitrostat,3,113
Nizatidine,3,122
Nizoral,5,156
Noctec,6,434
Nolvadex,3,184
Nor-QD,5,281
Norco,2,167
Norditropin,3,102
Norepinephrine Bitartrate,3,287
Norethindrone,2,143
Norethindrone and Ethinyl Estradiol,5,302
Norflex,1,23
Norfloxacin,2,200
Norgesic,3,139
Norgestimate and Ethinyl Estradiol,9,391
Noritate,1,100
Normal Saline,3,202
Noroxin,5,369
Norpace,4,230
Norplant,2,181
Norpramin,8,412
Nortriptyline HCl,3,194
Nortriptyline Hydrochloride,3,150
Norvasc,5,320
Norvir,2,218
Novantrone,1,42
Novolin R,3,161
NovoLog,2,34
NovoLog Mix 70/30,2,147
Novoseven,3,175
Novothyrox,2,139
Noxafil,3,304
Nplate,2,160
Nubain,6,400
Nucynta,0,0
Numorphan,4,287
Nuromax,2,83
Nutropin,4,235
Nutropin AQ,4,237
Nutropin Depot,4,247
NuvaRing,4,341
Nuvigil,5,369
Nydrazid,0,0
Nystatin,2,155
Nystop,1,58
Ocufen,5,289
Ocuflox,3,240
Ofatumumab,10,608
Ofloxacin,4,309
Oforta,3,137
Ogen,4,365
Olanzapine,4,252
Oleptro,2,153
Olmesartan Medoxomil,6,277
Olopatadine,3,188
Olux,5,301
Olux-E,8,514
Omalizumab,1,87
Omega-3-Acid Ethyl Esters,5,289
Omeprazole,2,109
Omnaris,3,226
Omnicef,2,150
Omnipred,3,268
Omniscan,2,115
Omnitrope,6,467
Oncaspar,4,310
Ondansetron Hydrochloride,1,13
Onglyza,3,128
Onsolis,2,62
Ontak,0,0
Opana,1,53
Opana ER,1,46
Oprelvekin,5,259
Opticrom,0,0
OptiMARK,3,113
Optipranolol,4,265
Optiray Injection,3,243
Optison,2,182
Optivar,2,156
Oracea,3,58
Orap,1,67
Orapred ODT,3,204
Oraqix,3,143
Oravig,4,232
Orencia,7,394
Orfadin,6,426
Organidin NR,6,400
Orimune,3,131
Orlaam,2,39
Orlistat,1,24
Orphenadrine,1,77
Orphenadrine Citrate,3,199
Orphengesic,2,149
Ortho Evra,3,208
Ortho Tri Cyclen,5,366
Ortho-Novum,2,135
Orudis,1,102
Oseltamivir Phosphate,3,127
Osmitrol,4,142
OsmoPrep,5,287
Ovcon,8,439
Ovide,5,405
Ovidrel,7,192
Oxacillin,1,55
Oxaliplatin,4,225
Oxandrin,1,97
Oxandrolone,3,329
Oxaprozin,5,220
Oxazepam,3,287
Oxcarbazepine,1,34
Oxiconazole,1,93
Oxilan,2,224
Oxistat,5,278
Oxsoralen-Ultra,8,422
Oxybutynin Chloride,3,153
Oxycodone and Acetaminophen,4,294
Oxycodone HCl,3,112
Oxycodone Hydrochloride,0,0
Oxycontin,2,122
Oxymetholone,2,94
Oxymorphone,2,138
Oxymorphone Hydrochloride,2,106
Oxymorphone Hydrochloride Extended Release,3,235
Oxytetracycline,7,348
Oxytocin,1,38
Oxytrol,6,237
Paclitaxel,3,159
Palifermin,4,218
Paliperidone,2,116
Palivizumab,3,158
Palonosetron,5,295
Palonosetron hydrochloride,2,136
Pamelor,3,179
Pamidronate Disodium,2,102
Pancrecarb,6,399
Pancrelipase,4,290
Pandel,2,128
Panhematin,2,39
Panretin,3,118
Pantoprazole,5,328
Pantoprazole Sodium,6,433
Papain,4,279
Papaverine,7,581
Parafon Forte,5,177
Paraplatin,1,39
Paregoric,4,86
Paricalcitol,0,0
Parlodel,3,57
Parnate,4,131
Paromomycin Sulfate,1,59
Paroxetine Hydrochloride,1,109
Paroxetine Mesylate,2,95
Paser,5,452
Pataday,4,269
Patanase,3,266
Patanol,2,126
Paxil,2,195
Pazopanib,4,308
PCE,3,175
Pediapred,4,343
Pediarix,4,212
Pediazole,3,164
Pediotic,4,177
PEG,6,311
PEG 3350,5,340
Peg-Intron,4,238
Pegademase Bovine,2,127
Peganone,5,285
Pegaptanib Sodium,3,61
Pegaspargase,2,81
Pegasys,5,254
Pegfilgrastim,2,73
Peginterferon alfa-2a,5,301
Peginterferon alfa-2b,2,111
PegIntron,1,45
Pegvisomant,4,274
Pemetrexed,4,247
Pemirolast Potassium,3,127
Pemoline,0,0
Penciclovir,1,6
Penetrex,3,174
Penicillamine,3,228
Penicillin G Benzathine,5,359
Penicillin G Potassium,1,41
Penicillin V Potassium,5,356
Penicillin VK,3,177
Penlac,3,299
PENNSAID,1,112
Pentamidine Isethionate,6,287
Pentasa,1,44
Pentazocine and Acetaminophen,0,0
Pentazocine and Aspirin,1,59
Pentetate Zinc Trisodium,5,418
Pentobarbital,2,31
Pentosan Polysulfate Sodium,2,174
Pentothal,1,94
Pentoxifylline,3,221
Pepcid,6,416
Percocet,1,10
Percodan,5,270
Perflutren,3,223
Perforomist,2,201
Pergolide Mesylate,7,466
Perindopril Erbumine,5,320
Periochip,4,315
Periostat,3,192
Permax,4,130
Permethrin,2,137
Perphenazine,1,71
Persantine,4,139
Persantine IV,2,124
Pexeva,5,297
Pfizerpen,4,195
Phenazopyridine,4,214
Phendimetrazine Tartrate,4,209
Phenelzine,3,135
Phenergan,2,94
Phenobarbital,1,108
Phenoxybenzamine,4,257
Phentermine,1,92
Phentermine Hydrochloride,1,31
Phentolamine Mesylate,5,411
Phenylephrine HCl,2,136
Phenylephrine Hydrochloride,6,334
Phenytoin,2,210
Phisohex,5,142
Phoslo,3,241
Phosphate,2,170
Phosphocol,5,209
Phospholine Iodide,3,276
Photofrin,4,240
Physostigmine Salicylate,5,349
Phytonadione,4,272
Pilocarpine,4,161
Pilocarpine Hydrochloride,7,400
Pilopine HS,4,265
Pimecrolimus,8,525
Pimozide,3,181
Pindolol,2,239
Pioglitazone Hcl,0,0
Piperacillin / Tazobactam,2,144
Pipracil,2,151
Pirbuterol,3,113
Piroxicam,5,276
Pitavastatin,2,140
Pitocin,3,216
Pitressin,5,271
Plan B,3,168
Plaquenil,2,203
PlasmaLyte A,3,147
Plavix,0,0
Plenaxis,4,299
Plendil,4,206
Plerixafor,2,187
Pletal,3,225
Pliaglis,1,30
Plicamycin,4,177
Pneumococcal 7-valent vaccine,2,144
Pneumococcal Vaccine Polyvalent,8,467
Pneumovax,3,238
Podocon-25,2,83
Podofilox,5,336
Podophyllin,1,14
Polidocanol,2,129
Polifeprosan 20,2,130
Poliovirus Vaccine,5,362
Polyethylene Glycol 3350,1,32
Polymyxin B,5,203
Polymyxin B Sulfate,3,85
Polysaccharides,2,60
Polythiazide,1,67
Pondimin,2,66
Ponstel,3,96
Poractant Alfa,3,328
Porfimer Sodium,4,179
Posaconazole,1,45
Potassium Acetate,1,65
Potassium Chloride,4,227
Potassium Citrate,2,67
Pralatrexate,1,118
Pralidoxime Chloride,4,181
Pramipexole,3,198
Pramlintide Acetate,5,198
Prandimet,2,120
Prandin,3,176
Prasugrel,3,122
Pravachol,5,417
Pravastatin Sodium,2,105
Praziquantel,2,206
Prazosin HCl,4,273
Precedex,1,61
Precose,1,56
Pred Forte,6,350
Pred-G,5,241
Prednicarbate,2,182
Prednisolone,3,196
Prednisolone Acetate,4,299
Prednisolone Sodium Phosphate,6,527
Prednisone,4,253
Prefest,3,99
Pregabalin,5,188
Pregnyl,1,116
Prelone,2,132
Premarin,4,177
Prempro-Premphase,4,193
Prepidil,2,163
Prevacid,6,504
Prevnar,2,163
Prevpac,0,0
Prezista,2,201
Prialt,4,221
Priftin,6,327
Prilosec,5,319
Primacor,4,255
Primaquine,2,61
Primatene Mist,0,0
Primaxin I.V.,8,342
Primidone,3,231
Principen,2,109
Prinivil,2,161
Prinzide,4,253
Pristiq,2,159
Privigen,4,302
Proair HFA,1,54
Proamatine,3,306
Probenecid and Colchicine,10,687
Procainamide,4,252
Procalamine,4,240
Procan Sr,1,37
Procarbazine,2,123
Procardia,1,43
Prochlorperazine,0,0
Prochlorperazine Maleate,8,404
Procrit,2,193
Proctofoam HC,3,165
Progesterone,4,291
Proglycem,3,137
Prograf,2,54
ProHance,3,114
Prolastin,4,297
Proleukin,3,137
Prolia,4,320
Prolixin,6,495
Promacta,2,119
Promethazine,4,271
Promethazine HCl,6,424
Promethazine Hydrochloride,2,79
Prometrium,1,98
Pronestyl,2,175
Propafenone,5,370
Proparacaine Hydrochloride,1,58
Propecia,6,313
Propine,0,0
Propofol,4,196
Propoxyphene,3,258
Propoxyphene Napsylate,2,133
Propranolol,3,243
Propranolol Hydrochloride,2,164
Propulsid,6,344
Propylthiouracil,3,187
Proquin XR,4,266
Proscar,1,12
Prosom,4,326
Prostigmin,5,327
Prostin E2,3,120
Prostin VR Pediatric,6,262
Protamine,4,162
Protamines,4,192
Protein C Concentrate,6,315
Protirelin,0,0
Protonix,2,65
Protonix I.V.,2,62
Protopic,3,170
Protriptyline Hydrochloride,2,48
Protropin,3,193
Proventil HFA,1,30
Provera,4,302
Provigil,2,58
Provisc,4,317
Provocholine,4,276
Prozac,3,221
Pseudoephedrine,1,111
Pseudoephedrine / Guaifenesin,0,0
Psorcon E,3,152
Pulmicort Flexhaler,3,165
Pulmozyme,1,38
Purinethol,3,235
Pylera,3,213
Pyrazinamide,2,229
Pyridium,5,311
Pyridostigmine,5,360
Pyrimethamine,3,221
Quadramet,2,138
Qualaquin,2,72
Quazepam,5,225
Questran,5,268
Quetiapine Fumarate,3,192
Quinapril Hydrochloride,3,158
Quinidex,3,158
Quinidine,3,111
Quinidine Gluconate,0,0
Quinidine Sulfate,4,147
Quinupristin and Dalfopristin,2,49
Quixin,3,275
Qutenza,3,229
Qvar,0,0
R-Gene 10,2,93
Rabavert,3,117
Rabeprazole Sodium,6,349
Rabies Immune Globulin,5,472
Rabies Vaccine,6,533
Radiogardase,2,152
Raloxifene,3,84
Raltegravir,3,250
Ramelteon,2,131
Ramipril,3,166
Ranexa,1,118
Ranibizumab,3,178
Ranitidine Bismuth Citrate,2,79
Ranitidine Hcl,9,541
Ranitidine Hydrochloride,3,246
Ranolazine,6,350
Rapaflo,6,524
Rapamune,3,170
Raplon,2,99
Raptiva,5,284
Rasagiline,7,290
Rasburicase,3,149
Rattlesnake Antivenin,3,268
Raxar,3,260
Razadyne ER,3,216
Rebetol,3,130
Rebetron,5,211
Rebif,3,163
Reclast,1,33
Recombinate,4,228
Refacto,3,272
Refludan,1,84
Regadenoson,4,280
Reglan,2,114
Regranex,5,357
Relafen,1,97
Relenza,3,154
Relistor,3,187
Relpax,4,231
Remeron,2,69
Remicade,4,213
Remifentanil,2,202
Remodulin,0,0
Renagel,2,106
Renese,4,344
Renova,2,44
Renvela,3,217
ReoPro,2,109
Repaglinide,3,222
Repronex,1,80
Requip,1,76
Rescriptor,2,115
Rescula,7,523
Restasis,8,417
Restoril,1,66
Retapamulin,4,305
Retavase,4,110
Reteplase,1,42
Retin-A Micro,1,34
Retisert,2,67
Retrovir,4,177
Revatio,2,182
Revex,2,110
Revia,5,357
Revlimid,1,62
Reyataz,0,0
Rezulin,3,229
Rheumatrex,0,0
Rhinocort Aqua,3,212
Rhogam,4,211
Rhogam Ultra-Filtered Plus,4,170
Rhophylac,4,252
RiaSTAP,2,115
Ribavirin,4,208
Rifabutin,2,112
Rifadin,3,139
Rifamate,2,142
Rifampin,4,236
Rifampin and Isoniazid,6,185
Rifapentine,3,143
Rifater,2,123
Rifaximin,6,206
Rilonacept,1,52
Rilutek,4,178
Riluzole,6,362
Rimantadine,1,118
Rimexolone,8,450
Rimso-50,1,66
Ringer's Solution,5,461
Riomet,1,114
Risedronate Sodium,5,271
Risperdal,1,20
Risperdal Consta,3,318
Risperidone,3,180
Ritalin,4,246
Ritonavir,3,128
Rituxan,7,370
Rituximab,4,221
Rivastigmine Tartrate,1,95
Rizatriptan Benzoate,1,68
Robaxin,4,217
Robaxisal,5,401
Robinul,3,134
Robitussin Ac,4,240
Rocaltrol,3,173
Rocephin,4,242
Rocuronium Bromide,3,297
Rofecoxib,3,262
Roferon-A,0,0
Romazicon,4,283
Romidepsin,1,57
Romiplostim,2,96
Rondec,2,125
Ropinirole,4,386
Ropinirole Hcl,4,140
Ropivacaine Hcl,3,218
Rosanil,2,142
Rosiglitazone Maleate,4,388
Rosuvastatin Calcium,3,187
Rotarix,1,76
RotaTeq,5,358
Rotavirus Vaccine-Live-Oral,5,364
Rotigotine,7,461
Rowasa,2,69
Roxanol,3,190
Roxicet,3,119
Roxicodone,8,398
Rozerem,0,0
Rubella Vaccine,2,194
Rufinamide,3,200
Rythmol,3,167
Rythmol SR,6,229
Ryzolt,3,183
Sabril,4,331
Sacrosidase,6,358
Saizen,2,136
Salagen,0,0
Salmeterol Xinafoate,2,92
Salsalate,1,48
Samarium SM 153 Lexidronam,2,77
Samsca,1,66
Sanctura,1,40
Sanctura XR,6,398
Sancuso,2,88
Sandimmune,3,220
Sandostatin,3,218
Sandostatin LAR,6,340
Sansert,4,248
Santyl,4,216
Saphris,1,111
Saquinavir Mesylate,4,245
Sarafem,3,200
Sargramostim,3,234
Savella,3,138
Saxagliptin,3,197
Scopolamine,6,341
Seasonale,6,368
Seasonique,1,81
Secobarbital Sodium,2,149
Seconal Sodium,2,169
SecreFlo,2,117
Secretin,4,160
